smiles,aizynthfinder_score,aizynthfinder_state_score
Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.8051137377351664
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3N)nc21,0.0,0.7976268127677725
CN(C)CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.794037960325545
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3)nc21,1.0,0.9559601461011058
Cc1nn(C)cc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.8051137377351664
O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccnc4)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,0.0,0.8051137377351664
O=C(Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1)C(F)(F)F,1.0,0.9634470710684997
CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,1.0,0.9634470710684997
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4c(C)nn(C)c4Cl)cc3)nc21,0.0,0.8166570079445925
Cn1cc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1,0.0,0.6809427222303069
CN(C)S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.8051137377351664
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3)nc21,0.0,0.7623712936588783
Cc1noc(C)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.8051137377351664
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(=O)C(F)(F)F)cc3)nc21,1.0,0.9559601461011058
O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccc5cccnc45)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,0.0,0.7976268127677725
CS(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.785
Cc1nc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1C,0.0,0.8051137377351664
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3NC(C)=O)nc21,0.0,0.8166666666666667
Cc1nc(N)sc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.0,0.7148712936588782
Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,1.0,0.975
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21,1.0,0.975
